Latitude,Longitude,T2MMEAN,T2MMIN,T2MMAX
-35.5,-13.125,292.0963134765625,291.972900390625,292.32147216796875
-35.5,-12.5,292.0461730957031,291.8961181640625,292.39959716796875
-35.5,-11.875,292.1532897949219,291.97998046875,292.50286865234375
-35.5,-11.25,291.9937744140625,291.895751953125,292.29193115234375
-35.5,-10.625,291.7978210449219,291.65032958984375,292.18255615234375
-35.5,-10.0,291.5771179199219,291.394775390625,291.90130615234375
-35.5,-9.375,291.3736572265625,291.136962890625,291.67474365234375
-35.5,-8.75,291.2616882324219,290.996337890625,291.62701416015625
-35.5,-8.125,291.1871337890625,290.941650390625,291.54888916015625
-35.5,-7.5,291.2405090332031,290.8825988769531,291.62701416015625
-35.5,-6.875,291.3114929199219,290.8228454589844,291.78326416015625
-35.5,-6.25,291.3394775390625,290.8540954589844,291.85357666015625
-35.5,-5.625,291.1946105957031,290.71234130859375,291.67474365234375
-35.5,-5.0,291.1291809082031,290.91424560546875,291.49420166015625
-35.5,-4.375,291.1428527832031,290.87158203125,291.54888916015625
-35.5,-3.75,291.1597900390625,290.86248779296875,291.53326416015625
-35.5,-3.125,291.1093444824219,290.70318603515625,291.353759765625
-35.5,-2.5,291.0777587890625,290.793212890625,291.28497314453125
-35.5,-1.875,290.8863525390625,290.47662353515625,291.22076416015625
-35.5,-1.25,290.6207275390625,290.0115051269531,291.18951416015625
-35.5,-0.625,290.5732116699219,289.9919738769531,291.17388916015625
-35.5,-5.920304394294029e-13,290.5793762207031,290.2369079589844,290.92388916015625
-35.5,0.625,290.4713134765625,290.0740051269531,290.80584716796875
-35.5,1.25,290.4182434082031,290.08392333984375,290.70684814453125
-35.5,1.875,290.6731262207031,290.4869079589844,290.88482666015625
-35.5,2.5,290.6828918457031,290.45623779296875,290.8397216796875
-35.5,3.125,290.5787353515625,290.28704833984375,290.92230224609375
-35.5,3.75,290.4687194824219,290.1851806640625,290.7879333496094
-35.5,4.375,290.3990478515625,290.0167541503906,290.64105224609375
-35.5,5.0,289.9521179199219,289.69091796875,290.1528015136719
-35.5,5.625,289.4726257324219,289.2425231933594,289.62091064453125
-35.5,6.25,289.4049072265625,289.13623046875,289.54229736328125
-35.5,6.875,289.3717041015625,289.1105041503906,289.63604736328125
-35.5,7.5,289.3544616699219,289.04248046875,289.77667236328125
-35.5,8.125,289.2515869140625,288.76904296875,289.60479736328125
-35.5,8.75,289.3518371582031,288.69873046875,289.64385986328125
-35.5,9.375,289.4032897949219,288.72216796875,289.72198486328125
-35.5,10.0,289.2294616699219,288.51123046875,289.61083984375
-35.5,10.625,289.0969543457031,288.26123046875,289.7032775878906
-35.5,11.25,289.0045166015625,288.02685546875,289.6720275878906
-35.5,11.875,288.8664855957031,287.87841796875,289.47943115234375
-35.5,12.5,288.9550476074219,287.90185546875,289.51068115234375
-35.5,13.125,289.4804382324219,288.44873046875,290.42474365234375
-35.5,13.75,290.3941650390625,289.33935546875,291.80755615234375
-35.5,14.375,290.7222900390625,289.6808166503906,292.26068115234375
-35.5,15.0,291.0777587890625,290.24560546875,292.33099365234375
-35.5,15.625,291.2320556640625,290.48779296875,292.29974365234375
-35.5,16.25,291.6496887207031,290.95654296875,292.66693115234375
-35.5,16.875,291.9426574707031,291.38623046875,292.84661865234375
-35.5,17.5,291.8466491699219,291.2823791503906,292.78411865234375
-35.5,18.125,291.9084777832031,291.22216796875,293.03411865234375
-35.5,18.75,292.0468444824219,291.3370666503906,293.39349365234375
-35.5,19.375,291.9071960449219,291.08392333984375,293.30755615234375
-35.5,20.0,291.8590087890625,290.8839416503906,293.08880615234375
-35.5,20.625,292.0155944824219,291.01123046875,292.96380615234375
-35.5,21.25,292.2734069824219,291.56591796875,293.07318115234375
-35.5,21.875,292.4758605957031,291.82373046875,293.36224365234375
-35.5,22.5,292.7838134765625,292.10498046875,293.70599365234375
-35.5,23.125,293.1890869140625,292.59716796875,293.94036865234375
-35.5,23.75,293.4443054199219,292.81591796875,294.02630615234375
-35.5,24.375,293.2564697265625,292.47216796875,293.681884765625
-35.5,25.0,293.0595397949219,292.33935546875,293.5272216796875
-35.5,25.625,292.8886413574219,292.03466796875,293.3084716796875
-35.5,26.25,292.8935241699219,292.31591796875,293.2615966796875
-35.5,26.875,292.8183288574219,292.30810546875,293.1444091796875
-35.5,27.5,292.8030090332031,292.37811279296875,293.0189514160156
-35.5,28.125,292.7574462890625,292.2691650390625,293.0453796386719
-35.5,28.75,292.7271728515625,292.1988525390625,292.9642639160156
-35.5,29.375,292.8840637207031,292.5347900390625,293.1703796386719
-35.5,30.0,292.9856262207031,292.5035400390625,293.1990966796875
-35.5,30.625,293.0959777832031,292.5620422363281,293.43170166015625
-35.5,31.25,293.1142272949219,292.4682922363281,293.69732666015625
-35.5,31.875,292.8658447265625,292.1870422363281,293.34698486328125
-35.5,32.5,292.5107116699219,292.0426025390625,292.90771484375
-35.5,33.125,292.4745788574219,292.0307922363281,292.9798889160156
-35.5,33.75,292.3886413574219,291.7564392089844,293.14117431640625
